rule,update_mode,dataset,N,M,load,noise_frac,noise_k,recall_accuracy,basin_width,spurious_rate,mean_convergence_iters,converged_fraction
storkey,1,random,10,3,0.3,0.05,0,1.0,0,0.06,1.0,1.0
storkey,1,random,10,3,0.3,0.1,1,0.76,0,0.06,2.0,1.0
storkey,1,random,10,3,0.3,0.15,2,0.7,0,0.06,2.1,1.0
storkey,1,random,10,3,0.3,0.2,2,0.72,0,0.06,2.04,1.0
storkey,1,random,10,3,0.3,0.25,2,0.68,0,0.06,2.04,1.0
storkey,1,random,10,3,0.3,0.3,3,0.32,0,0.06,2.12,1.0
storkey,1,random,10,3,0.3,0.35,4,0.2,0,0.06,2.1,1.0
storkey,1,random,10,3,0.3,0.4,4,0.2,0,0.06,2.18,1.0
storkey,1,random,12,1,0.0833,0.0,0,1.0,0,0.0,1.0,1.0
storkey,1,random,12,1,0.0833,0.05,1,1.0,1,0.0,2.0,1.0
storkey,1,random,12,1,0.0833,0.1,1,1.0,1,0.0,2.0,1.0
storkey,1,random,12,1,0.0833,0.15,2,1.0,2,0.0,2.0,1.0
storkey,1,random,12,1,0.0833,0.2,2,1.0,2,0.0,2.0,1.0
storkey,1,random,12,1,0.0833,0.25,3,1.0,3,0.0,2.0,1.0
storkey,1,random,12,1,0.0833,0.3,4,1.0,4,0.0,2.0,1.0
storkey,1,random,12,1,0.0833,0.35,4,1.0,4,0.0,2.0,1.0
storkey,1,random,12,1,0.0833,0.4,5,1.0,5,0.0,2.0,1.0
storkey,1,random,12,2,0.1667,0.0,0,1.0,0,0.0,1.0,1.0
storkey,1,random,12,2,0.1667,0.05,1,1.0,1,0.0,2.0,1.0
storkey,1,random,12,2,0.1667,0.1,1,1.0,1,0.0,2.0,1.0
storkey,1,random,12,2,0.1667,0.15,2,1.0,2,0.0,2.0,1.0
storkey,1,random,12,2,0.1667,0.2,2,0.98,2,0.0,2.0,1.0
storkey,1,random,12,2,0.1667,0.25,3,0.86,2,0.0,2.0,1.0
storkey,1,random,12,2,0.1667,0.3,4,0.74,2,0.0,2.0,1.0
storkey,1,random,12,2,0.1667,0.35,4,0.64,2,0.0,1.96,1.0
storkey,1,random,12,2,0.1667,0.4,5,0.36,2,0.0,2.0,1.0
storkey,1,random,12,3,0.25,0.0,0,1.0,0,0.04,1.0,1.0
storkey,1,random,12,3,0.25,0.05,1,0.98,1,0.04,2.04,1.0
storkey,1,random,12,3,0.25,0.1,1,1.0,1,0.04,2.02,1.0
storkey,1,random,12,3,0.25,0.15,2,0.82,1,0.04,2.08,1.0
storkey,1,random,12,3,0.25,0.2,2,0.84,1,0.04,2.04,1.0
storkey,1,random,12,3,0.25,0.25,3,0.7,1,0.04,2.18,1.0
storkey,1,random,12,3,0.25,0.3,4,0.48,1,0.04,2.26,1.0
storkey,1,random,12,3,0.25,0.35,4,0.34,1,0.04,2.22,1.0
storkey,1,random,12,3,0.25,0.4,5,0.12,1,0.04,2.26,1.0
storkey,1,random,12,4,0.3333,0.0,0,0.78,0,0.0,1.22,1.0
storkey,1,random,12,4,0.3333,0.05,1,0.58,0,0.0,2.26,1.0
storkey,1,random,12,4,0.3333,0.1,1,0.62,0,0.0,2.2,1.0
storkey,1,random,12,4,0.3333,0.15,2,0.56,0,0.0,2.16,1.0
storkey,1,random,12,4,0.3333,0.2,2,0.54,0,0.0,2.16,1.0
storkey,1,random,12,4,0.3333,0.25,3,0.48,0,0.0,2.18,1.0
storkey,1,random,12,4,0.3333,0.3,4,0.32,0,0.0,2.3,1.0
storkey,1,random,12,4,0.3333,0.35,4,0.2,0,0.0,2.26,1.0
storkey,1,random,12,4,0.3333,0.4,5,0.06,0,0.0,2.36,1.0
storkey,1,random,14,1,0.0714,0.0,0,1.0,0,0.0,1.0,1.0
storkey,1,random,14,1,0.0714,0.05,1,1.0,1,0.0,2.0,1.0
storkey,1,random,14,1,0.0714,0.1,1,1.0,1,0.0,2.0,1.0
storkey,1,random,14,1,0.0714,0.15,2,1.0,2,0.0,2.0,1.0
storkey,1,random,14,1,0.0714,0.2,3,1.0,3,0.0,2.0,1.0
storkey,1,random,14,1,0.0714,0.25,4,1.0,4,0.0,2.0,1.0
storkey,1,random,14,1,0.0714,0.3,4,1.0,4,0.0,2.0,1.0
storkey,1,random,14,1,0.0714,0.35,5,1.0,5,0.0,2.0,1.0
storkey,1,random,14,1,0.0714,0.4,6,1.0,6,0.0,2.0,1.0
storkey,1,random,14,2,0.1429,0.0,0,1.0,0,0.0,1.0,1.0
storkey,1,random,14,2,0.1429,0.05,1,1.0,1,0.0,2.0,1.0
storkey,1,random,14,2,0.1429,0.1,1,1.0,1,0.0,2.0,1.0
storkey,1,random,14,2,0.1429,0.15,2,1.0,2,0.0,2.0,1.0
storkey,1,random,14,2,0.1429,0.2,3,0.94,3,0.0,2.0,1.0
storkey,1,random,14,2,0.1429,0.25,4,0.9,4,0.0,2.0,1.0
storkey,1,random,14,2,0.1429,0.3,4,0.84,4,0.0,2.0,1.0
storkey,1,random,14,2,0.1429,0.35,5,0.62,4,0.0,2.0,1.0
storkey,1,random,14,2,0.1429,0.4,6,0.36,4,0.0,2.0,1.0
storkey,1,random,14,3,0.2143,0.0,0,1.0,0,0.19,1.0,1.0
storkey,1,random,14,3,0.2143,0.05,1,1.0,1,0.19,2.0,1.0
storkey,1,random,14,3,0.2143,0.1,1,0.96,1,0.19,2.0,1.0
storkey,1,random,14,3,0.2143,0.15,2,0.88,1,0.19,1.98,1.0
storkey,1,random,14,3,0.2143,0.2,3,0.72,1,0.19,2.02,1.0
storkey,1,random,14,3,0.2143,0.25,4,0.54,1,0.19,2.0,1.0
storkey,1,random,14,3,0.2143,0.3,4,0.58,1,0.19,2.02,1.0
storkey,1,random,14,3,0.2143,0.35,5,0.2,1,0.19,2.04,1.0
storkey,1,random,14,3,0.2143,0.4,6,0.14,1,0.19,2.0,1.0
storkey,1,random,14,4,0.2857,0.0,0,1.0,0,0.12,1.0,1.0
storkey,1,random,14,4,0.2857,0.05,1,0.88,0,0.12,2.16,1.0
storkey,1,random,14,4,0.2857,0.1,1,0.92,1,0.12,2.12,1.0
storkey,1,random,14,4,0.2857,0.15,2,0.76,1,0.12,2.26,1.0
storkey,1,random,14,4,0.2857,0.2,3,0.68,1,0.12,2.38,1.0
storkey,1,random,14,4,0.2857,0.25,4,0.3,1,0.12,2.4,1.0
storkey,1,random,14,4,0.2857,0.3,4,0.4,1,0.12,2.42,1.0
storkey,1,random,14,4,0.2857,0.35,5,0.26,1,0.12,2.52,1.0
storkey,1,random,14,4,0.2857,0.4,6,0.1,1,0.12,2.46,1.0
storkey,1,random,14,5,0.3571,0.0,0,1.0,0,0.37,1.0,1.0
storkey,1,random,14,5,0.3571,0.05,1,0.82,0,0.37,2.1,1.0
storkey,1,random,14,5,0.3571,0.1,1,0.78,0,0.37,2.14,1.0
storkey,1,random,14,5,0.3571,0.15,2,0.68,0,0.37,2.06,1.0
storkey,1,random,14,5,0.3571,0.2,3,0.36,0,0.37,2.32,1.0
storkey,1,random,14,5,0.3571,0.25,4,0.24,0,0.37,2.44,1.0
storkey,1,random,14,5,0.3571,0.3,4,0.36,0,0.37,2.46,1.0
storkey,1,random,14,5,0.3571,0.35,5,0.16,0,0.37,2.48,1.0
storkey,1,random,14,5,0.3571,0.4,6,0.02,0,0.37,2.42,1.0
storkey,1,random,16,1,0.0625,0.0,0,1.0,0,0.0,1.0,1.0
storkey,1,random,16,1,0.0625,0.05,1,1.0,1,0.0,2.0,1.0
storkey,1,random,16,1,0.0625,0.1,2,1.0,2,0.0,2.0,1.0
storkey,1,random,16,1,0.0625,0.15,2,1.0,2,0.0,2.0,1.0
storkey,1,random,16,1,0.0625,0.2,3,1.0,3,0.0,2.0,1.0
storkey,1,random,16,1,0.0625,0.25,4,1.0,4,0.0,2.0,1.0
storkey,1,random,16,1,0.0625,0.3,5,1.0,5,0.0,2.0,1.0
storkey,1,random,16,1,0.0625,0.35,6,1.0,6,0.0,2.0,1.0
storkey,1,random,16,1,0.0625,0.4,6,1.0,6,0.0,2.0,1.0
storkey,1,random,16,2,0.125,0.0,0,1.0,0,0.0,1.0,1.0
storkey,1,random,16,2,0.125,0.05,1,1.0,1,0.0,2.0,1.0
storkey,1,random,16,2,0.125,0.1,2,1.0,2,0.0,2.0,1.0
storkey,1,random,16,2,0.125,0.15,2,1.0,2,0.0,2.0,1.0
storkey,1,random,16,2,0.125,0.2,3,0.98,3,0.0,2.0,1.0
storkey,1,random,16,2,0.125,0.25,4,0.86,3,0.0,2.0,1.0
storkey,1,random,16,2,0.125,0.3,5,0.84,3,0.0,2.0,1.0
storkey,1,random,16,2,0.125,0.35,6,0.6,3,0.0,2.0,1.0
storkey,1,random,16,2,0.125,0.4,6,0.62,3,0.0,2.0,1.0
storkey,1,random,16,3,0.1875,0.0,0,1.0,0,0.12,1.0,1.0
storkey,1,random,16,3,0.1875,0.05,1,1.0,1,0.12,2.0,1.0
storkey,1,random,16,3,0.1875,0.1,2,0.96,2,0.12,2.0,1.0
storkey,1,random,16,3,0.1875,0.15,2,1.0,2,0.12,2.0,1.0
storkey,1,random,16,3,0.1875,0.2,3,0.86,2,0.12,2.02,1.0
storkey,1,random,16,3,0.1875,0.25,4,0.78,2,0.12,2.0,1.0
storkey,1,random,16,3,0.1875,0.3,5,0.54,2,0.12,2.08,1.0
storkey,1,random,16,3,0.1875,0.35,6,0.42,2,0.12,2.04,1.0
storkey,1,random,16,3,0.1875,0.4,6,0.28,2,0.12,2.02,1.0
storkey,1,random,16,4,0.25,0.0,0,1.0,0,0.04,1.0,1.0
storkey,1,random,16,4,0.25,0.05,1,0.9,1,0.04,2.06,1.0
storkey,1,random,16,4,0.25,0.1,2,0.78,1,0.04,2.08,1.0
storkey,1,random,16,4,0.25,0.15,2,0.82,1,0.04,2.1,1.0
storkey,1,random,16,4,0.25,0.2,3,0.72,1,0.04,2.1,1.0
storkey,1,random,16,4,0.25,0.25,4,0.52,1,0.04,2.16,1.0
storkey,1,random,16,4,0.25,0.3,5,0.44,1,0.04,2.28,1.0
storkey,1,random,16,4,0.25,0.35,6,0.2,1,0.04,2.34,1.0
storkey,1,random,16,4,0.25,0.4,6,0.22,1,0.04,2.4,1.0
storkey,1,random,16,5,0.3125,0.0,0,0.7,0,0.25,1.3,1.0
storkey,1,random,16,5,0.3125,0.05,1,0.8,0,0.25,2.08,1.0
storkey,1,random,16,5,0.3125,0.1,2,0.6,0,0.25,2.24,1.0
storkey,1,random,16,5,0.3125,0.15,2,0.58,0,0.25,2.34,1.0
storkey,1,random,16,5,0.3125,0.2,3,0.46,0,0.25,2.28,1.0
storkey,1,random,16,5,0.3125,0.25,4,0.34,0,0.25,2.58,1.0
storkey,1,random,16,5,0.3125,0.3,5,0.14,0,0.25,2.4,1.0
storkey,1,random,16,5,0.3125,0.35,6,0.18,0,0.25,2.48,1.0
storkey,1,random,16,5,0.3125,0.4,6,0.18,0,0.25,2.52,1.0
