rule,update_mode,dataset,N,M,load,noise_frac,noise_k,recall_accuracy,basin_width,spurious_rate,mean_convergence_iters,converged_fraction
hebbian,1,random,10,3,0.3,0.15,2,0.64,0,0.15,2.02,1.0
hebbian,1,random,10,3,0.3,0.2,2,0.76,0,0.15,2.0,1.0
hebbian,1,random,10,3,0.3,0.25,2,0.62,0,0.15,2.0,1.0
hebbian,1,random,10,3,0.3,0.3,3,0.4,0,0.15,2.12,1.0
hebbian,1,random,10,3,0.3,0.35,4,0.18,0,0.15,2.08,1.0
hebbian,1,random,10,3,0.3,0.4,4,0.2,0,0.15,2.16,1.0
hebbian,1,random,12,1,0.0833,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,12,1,0.0833,0.05,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.15,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.2,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.25,3,1.0,3,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.3,4,1.0,4,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.35,4,1.0,4,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.4,5,1.0,5,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,12,2,0.1667,0.05,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.15,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.2,2,0.98,2,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.25,3,0.86,2,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.3,4,0.74,2,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.35,4,0.64,2,0.0,1.96,1.0
hebbian,1,random,12,2,0.1667,0.4,5,0.36,2,0.0,2.0,1.0
hebbian,1,random,12,3,0.25,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,12,3,0.25,0.05,1,0.86,0,0.0,2.14,1.0
hebbian,1,random,12,3,0.25,0.1,1,0.88,0,0.0,2.06,1.0
hebbian,1,random,12,3,0.25,0.15,2,0.82,0,0.0,2.14,1.0
hebbian,1,random,12,3,0.25,0.2,2,0.86,0,0.0,2.08,1.0
hebbian,1,random,12,3,0.25,0.25,3,0.72,0,0.0,2.22,1.0
hebbian,1,random,12,3,0.25,0.3,4,0.46,0,0.0,2.24,1.0
hebbian,1,random,12,3,0.25,0.35,4,0.34,0,0.0,2.2,1.0
hebbian,1,random,12,3,0.25,0.4,5,0.16,0,0.0,2.24,1.0
hebbian,1,random,12,4,0.3333,0.0,0,0.22,0,0.47,2.36,1.0
hebbian,1,random,12,4,0.3333,0.05,1,0.28,0,0.47,2.34,1.0
hebbian,1,random,12,4,0.3333,0.1,1,0.2,0,0.47,2.46,1.0
hebbian,1,random,12,4,0.3333,0.15,2,0.18,0,0.47,2.56,1.0
hebbian,1,random,12,4,0.3333,0.2,2,0.2,0,0.47,2.44,1.0
hebbian,1,random,12,4,0.3333,0.25,3,0.06,0,0.47,2.46,1.0
hebbian,1,random,12,4,0.3333,0.3,4,0.16,0,0.47,2.38,1.0
hebbian,1,random,12,4,0.3333,0.35,4,0.12,0,0.47,2.48,1.0
hebbian,1,random,12,4,0.3333,0.4,5,0.18,0,0.47,2.5,1.0
hebbian,1,random,14,1,0.0714,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,14,1,0.0714,0.05,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,14,1,0.0714,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,14,1,0.0714,0.15,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,14,1,0.0714,0.2,3,1.0,3,0.0,2.0,1.0
hebbian,1,random,14,1,0.0714,0.25,4,1.0,4,0.0,2.0,1.0
hebbian,1,random,14,1,0.0714,0.3,4,1.0,4,0.0,2.0,1.0
hebbian,1,random,14,1,0.0714,0.35,5,1.0,5,0.0,2.0,1.0
hebbian,1,random,14,1,0.0714,0.4,6,1.0,6,0.0,2.0,1.0
hebbian,1,random,14,2,0.1429,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,14,2,0.1429,0.05,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,14,2,0.1429,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,14,2,0.1429,0.15,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,14,2,0.1429,0.2,3,0.94,3,0.0,2.0,1.0
hebbian,1,random,14,2,0.1429,0.25,4,0.9,4,0.0,2.0,1.0
hebbian,1,random,14,2,0.1429,0.3,4,0.84,4,0.0,2.0,1.0
hebbian,1,random,14,2,0.1429,0.35,5,0.62,4,0.0,2.0,1.0
hebbian,1,random,14,2,0.1429,0.4,6,0.36,4,0.0,2.0,1.0
hebbian,1,random,14,3,0.2143,0.0,0,1.0,0,0.08,1.0,1.0
hebbian,1,random,14,3,0.2143,0.05,1,1.0,1,0.08,2.0,1.0
