rule,N,M,load,s,threshold,pct_zeroed,W_mean,W_std,n_fixed,frac_fixed,mean_degree,noise_frac,n_flip,recall,mean_sweeps,converge_frac
storkey,32,7,0.2188,0.5,0.036697,36.1,-0.003711,0.091328,7,1.0,19.44,0.2,6,0.68,2.46,1.0
storkey,32,7,0.2188,0.5,0.036697,36.1,-0.003711,0.091328,7,1.0,19.44,0.3,10,0.32,3.17,1.0
storkey,32,7,0.2188,1.0,0.073394,65.0,-0.002678,0.115068,7,1.0,10.19,0.0,0,1.0,1.0,1.0
storkey,32,7,0.2188,1.0,0.073394,65.0,-0.002678,0.115068,7,1.0,10.19,0.1,3,0.79,2.45,1.0
storkey,32,7,0.2188,1.0,0.073394,65.0,-0.002678,0.115068,7,1.0,10.19,0.2,6,0.5,3.05,1.0
storkey,32,7,0.2188,1.0,0.073394,65.0,-0.002678,0.115068,7,1.0,10.19,0.3,10,0.24,3.1,1.0
storkey,32,9,0.2812,0.0,0.0,0.0,-0.001178,0.069487,8,0.8889,31.0,0.0,0,0.82,1.18,1.0
storkey,32,9,0.2812,0.0,0.0,0.0,-0.001178,0.069487,8,0.8889,31.0,0.1,3,0.78,2.36,1.0
storkey,32,9,0.2812,0.0,0.0,0.0,-0.001178,0.069487,8,0.8889,31.0,0.2,6,0.61,2.93,1.0
storkey,32,9,0.2812,0.0,0.0,0.0,-0.001178,0.069487,8,0.8889,31.0,0.3,10,0.29,3.45,1.0
storkey,32,9,0.2812,0.5,0.034743,36.7,-0.001978,0.086801,8,0.8889,19.25,0.0,0,0.81,1.57,1.0
storkey,32,9,0.2812,0.5,0.034743,36.7,-0.001978,0.086801,8,0.8889,19.25,0.1,3,0.89,2.26,1.0
storkey,32,9,0.2812,0.5,0.034743,36.7,-0.001978,0.086801,8,0.8889,19.25,0.2,6,0.51,3.02,1.0
storkey,32,9,0.2812,0.5,0.034743,36.7,-0.001978,0.086801,8,0.8889,19.25,0.3,10,0.25,3.26,1.0
storkey,32,9,0.2812,1.0,0.069487,68.0,-0.006994,0.111679,4,0.4444,9.25,0.0,0,0.44,1.56,1.0
storkey,32,9,0.2812,1.0,0.069487,68.0,-0.006994,0.111679,4,0.4444,9.25,0.1,3,0.39,2.76,1.0
storkey,32,9,0.2812,1.0,0.069487,68.0,-0.006994,0.111679,4,0.4444,9.25,0.2,6,0.29,3.23,1.0
storkey,32,9,0.2812,1.0,0.069487,68.0,-0.006994,0.111679,4,0.4444,9.25,0.3,10,0.11,3.46,1.0
storkey,32,10,0.3125,0.0,0.0,0.0,-0.002082,0.076013,9,0.9,31.0,0.0,0,0.9,1.5,1.0
storkey,32,10,0.3125,0.0,0.0,0.0,-0.002082,0.076013,9,0.9,31.0,0.1,3,0.63,2.85,1.0
storkey,32,10,0.3125,0.0,0.0,0.0,-0.002082,0.076013,9,0.9,31.0,0.2,6,0.42,3.08,1.0
storkey,32,10,0.3125,0.0,0.0,0.0,-0.002082,0.076013,9,0.9,31.0,0.3,10,0.18,3.38,1.0
storkey,32,10,0.3125,0.5,0.038006,36.3,-0.004361,0.094507,9,0.9,19.38,0.0,0,0.88,1.12,1.0
storkey,32,10,0.3125,0.5,0.038006,36.3,-0.004361,0.094507,9,0.9,19.38,0.1,3,0.65,2.66,1.0
storkey,32,10,0.3125,0.5,0.038006,36.3,-0.004361,0.094507,9,0.9,19.38,0.2,6,0.38,3.32,1.0
storkey,32,10,0.3125,0.5,0.038006,36.3,-0.004361,0.094507,9,0.9,19.38,0.3,10,0.21,3.43,1.0
storkey,32,10,0.3125,1.0,0.076013,63.7,-0.00806,0.116812,6,0.6,10.62,0.0,0,0.58,1.96,1.0
storkey,32,10,0.3125,1.0,0.076013,63.7,-0.00806,0.116812,6,0.6,10.62,0.1,3,0.36,3.28,1.0
storkey,32,10,0.3125,1.0,0.076013,63.7,-0.00806,0.116812,6,0.6,10.62,0.2,6,0.32,3.34,1.0
storkey,32,10,0.3125,1.0,0.076013,63.7,-0.00806,0.116812,6,0.6,10.62,0.3,10,0.16,3.5,1.0
