rule,N,M,load,s,threshold,pct_zeroed,n_fixed,frac_fixed,mean_degree,max_degree,sparse_lut,compression,noise_frac,n_flip,recall_A,recall_D,agree_AD,mean_sweeps,converge_frac
storkey,8,3,0.375,0.0,0.0,0.0,3,1.0,7.0,7,1024,2.0,0.0,0,1.0,1.0,1.0,1.0,1.0
storkey,8,3,0.375,0.0,0.0,0.0,3,1.0,7.0,7,1024,2.0,0.2,2,0.5,0.5,1.0,2.13,1.0
storkey,8,3,0.375,0.5,0.118703,25.0,3,1.0,5.0,5,256,8.0,0.0,0,1.0,1.0,1.0,1.0,1.0
storkey,8,3,0.375,0.5,0.118703,25.0,3,1.0,5.0,5,256,8.0,0.2,2,0.4667,0.4667,1.0,2.3,1.0
storkey,8,3,0.375,1.0,0.237406,75.0,3,1.0,1.0,1,16,128.0,0.0,0,1.0,1.0,1.0,1.0,1.0
storkey,8,3,0.375,1.0,0.237406,75.0,3,1.0,1.0,1,16,128.0,0.2,2,0.2,0.2,1.0,1.8,1.0
