N,M,load,seed,target_degree,method,param,actual_degree,n_fixed,frac_fixed,sparse_lut,compression,recall_00,recall_15,recall_30
32,8,0.25,42,4,storkey_posthoc,s=1.537,4.06,0,0.0,1260,109078534.5,0.0,0.0,0.0
32,8,0.25,42,4,storkey_l1,lam=1.000,15.06,3,0.375,2146304,64035.2,0.3867,0.2933,0.1867
32,8,0.25,42,4,storkey_retrain,s=1.537,4.06,1,0.125,1260,109078534.5,0.1333,0.0467,0.0033
32,8,0.25,42,4,pseudo_posthoc,s=1.496,4.0,0,0.0,1558,88214989.4,0.0,0.0,0.0
32,8,0.25,42,4,pseudo_retrain,s=1.496,3.88,1,0.125,1454,94524727.3,0.1267,0.0333,0.0
32,8,0.25,42,6,storkey_posthoc,s=1.312,6.0,3,0.375,5000,27487790.7,0.4033,0.2567,0.06
32,8,0.25,42,6,storkey_l1,lam=1.000,15.06,3,0.375,2146304,64035.2,0.3433,0.3133,0.1633
32,8,0.25,42,6,storkey_retrain,s=1.312,6.0,5,0.625,5000,27487790.7,0.6467,0.24,0.04
32,8,0.25,42,6,pseudo_posthoc,s=1.285,5.94,1,0.125,7232,19004280.1,0.13,0.06,0.01
32,8,0.25,42,6,pseudo_retrain,s=1.285,5.88,0,0.0,5176,26553120.8,0.0,0.0,0.0
32,8,0.25,42,8,storkey_posthoc,s=1.154,8.0,4,0.5,20704,6638280.2,0.5033,0.32,0.15
32,8,0.25,42,8,storkey_l1,lam=1.000,15.06,3,0.375,2146304,64035.2,0.37,0.2967,0.19
32,8,0.25,42,8,storkey_retrain,s=1.154,8.0,6,0.75,20704,6638280.2,0.7533,0.39,0.13
32,8,0.25,42,8,pseudo_posthoc,s=1.154,8.0,6,0.75,23904,5749621.5,0.7733,0.4033,0.0567
32,8,0.25,42,8,pseudo_retrain,s=1.154,7.75,1,0.125,21888,6279192.0,0.1333,0.0033,0.0
32,8,0.25,42,10,storkey_posthoc,s=1.058,10.0,6,0.75,107008,1284380.2,0.7767,0.4767,0.2467
32,8,0.25,42,10,storkey_l1,lam=1.000,15.06,3,0.375,2146304,64035.2,0.4133,0.27,0.1733
32,8,0.25,42,10,storkey_retrain,s=1.058,10.0,6,0.75,107008,1284380.2,0.7767,0.4367,0.1333
32,8,0.25,42,10,pseudo_posthoc,s=1.046,10.0,7,0.875,88192,1558406.1,0.8667,0.4733,0.14
32,8,0.25,42,10,pseudo_retrain,s=1.046,9.94,6,0.75,87680,1567506.3,0.71,0.2633,0.0033
32,8,0.25,42,12,storkey_posthoc,s=0.949,12.0,8,1.0,562944,244143.2,1.0,0.5,0.2267
32,8,0.25,42,12,storkey_l1,lam=1.000,15.06,3,0.375,2146304,64035.2,0.3933,0.31,0.1533
32,8,0.25,42,12,storkey_retrain,s=0.949,12.0,8,1.0,562944,244143.2,1.0,0.7633,0.2467
32,8,0.25,42,12,pseudo_posthoc,s=0.907,12.0,8,1.0,814976,168641.7,1.0,0.73,0.2
32,8,0.25,42,12,pseudo_retrain,s=0.907,12.0,8,1.0,814976,168641.7,1.0,0.67,0.1467
