N,M,load,target_degree,method,actual_degree,n_fixed,frac_fixed,sparse_lut,compression,recall_00,recall_15,recall_30
16,4,0.25,5,pseudo_posthoc,4.62,3,0.75,2784,376.6,0.735,0.59,0.185
16,4,0.25,5,l1svm_g1,1.88,4,1.0,74,14169.9,1.0,0.41,0.05
16,4,0.25,5,l1svm_g0.5,1.88,4,1.0,74,14169.9,1.0,0.42,0.055
16,4,0.25,5,perceptron_l1,4.25,2,0.5,384,2730.7,0.535,0.425,0.16
16,4,0.25,5,rigl,8.25,4,1.0,8928,117.4,1.0,0.725,0.25
16,4,0.25,8,pseudo_posthoc,7.88,4,1.0,40576,25.8,1.0,0.825,0.28
16,4,0.25,8,l1svm_g1,1.88,4,1.0,74,14169.9,1.0,0.44,0.02
16,4,0.25,8,l1svm_g0.5,1.88,4,1.0,74,14169.9,1.0,0.405,0.04
16,4,0.25,8,perceptron_l1,8.25,4,1.0,6848,153.1,1.0,0.845,0.375
16,4,0.25,8,rigl,12.75,4,1.0,255488,4.1,1.0,0.96,0.385
16,4,0.25,12,pseudo_posthoc,13.12,4,1.0,285696,3.7,1.0,0.975,0.39
16,4,0.25,12,l1svm_g1,1.88,4,1.0,74,14169.9,1.0,0.355,0.03
16,4,0.25,12,l1svm_g0.5,1.88,4,1.0,74,14169.9,1.0,0.44,0.02
16,4,0.25,12,perceptron_l1,11.62,4,1.0,78848,13.3,1.0,0.905,0.325
16,4,0.25,12,rigl,15.0,4,1.0,524288,2.0,1.0,0.96,0.415
