experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
oscillation,depth,,0,0.1875,3,ac26,fca6,True,11,correct,0,True
oscillation,depth,,3,0.375,6,ac40,f54b,False,740,oscillated,-1,False
oscillation,depth,,2,0.4375,7,ac5a,a75b,True,17,spurious,-1,False
oscillation,depth,,2,0.3125,5,ac74,fca6,True,30,wrong_pattern,0,False
oscillation,depth,,0,0.25,4,ac8e,a6b6,True,17,wrong_pattern,2,False
oscillation,depth,,0,0.3125,5,aca8,e6fa,True,16,spurious,-1,False
oscillation,depth,,0,0.3125,5,acc2,e6fa,True,16,spurious,-1,False
oscillation,depth,,2,0.375,6,acdc,e6fa,True,16,spurious,-1,False
oscillation,depth,,2,0.1875,3,acf6,a6b6,True,17,correct,2,True
oscillation,depth,,3,0.3125,5,ad10,a75b,True,21,spurious,-1,False
oscillation,depth,,3,0.3125,5,ad2a,f54b,False,740,oscillated,-1,False
oscillation,depth,,3,0.25,4,ad44,f54b,False,740,oscillated,-1,False
oscillation,depth,,3,0.3125,5,ad5e,a75b,True,16,spurious,-1,False
oscillation,depth,,2,0.5,8,ad78,a75b,True,17,spurious,-1,False
oscillation,depth,,2,0.3125,5,ad92,a6b6,True,17,correct,2,True
oscillation,depth,,0,0.3125,5,adac,a6b6,True,17,wrong_pattern,2,False
oscillation,depth,,3,0.25,4,adc6,a6b6,True,17,wrong_pattern,2,False
oscillation,depth,,0,0.375,6,ade0,e6fa,True,16,spurious,-1,False
oscillation,depth,,2,0.375,6,adfa,e6fa,True,13,spurious,-1,False
oscillation,depth,,2,0.25,4,ae14,b797,False,740,oscillated,-1,False
oscillation,depth,,2,0.25,4,ae2e,fca6,True,30,wrong_pattern,0,False
oscillation,depth,,2,0.5,8,ae48,a75b,True,17,spurious,-1,False
oscillation,depth,,2,0.3125,5,ae62,e6fa,True,13,spurious,-1,False
oscillation,depth,,2,0.3125,5,ae7c,e6fa,True,11,spurious,-1,False
oscillation,depth,,2,0.125,2,ae96,b6b6,False,740,oscillated,-1,False
oscillation,depth,,2,0.1875,3,aeb0,a6b6,True,7,correct,2,True
oscillation,depth,,2,0.375,6,aeca,e6fa,True,13,spurious,-1,False
oscillation,depth,,2,0.25,4,aee4,a6b6,True,17,correct,2,True
oscillation,depth,,2,0.1875,3,aefe,a6b6,True,17,correct,2,True
