experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,noise_scale,noise_seed,actual_delays
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
noise_scale,depth,_nscale0p0_s0,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,0,"[3, 3, 5, 5, 4, 3, 5, 8, 3, 4, 3, 6, 6, 3, 10, 3]"
