experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,k_flips
seqpert_depth,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b94,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b97,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1bd5,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,5b95,1905,True,13,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,b95,1395,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,9b95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1a95,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1bd5,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,b95,1395,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1bb5,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1bd5,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b9d,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1bb5,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b97,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1395,b95,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1bd5,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,5b95,1905,True,13,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b97,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b97,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1995,1915,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1bb5,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,5b95,1905,True,13,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b94,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,5b95,1905,True,13,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1995,1915,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,1,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1bd5,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,5b95,1905,True,13,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1995,1915,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1bd5,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,3b95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,9b95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1bd5,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b97,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1995,1915,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,5b95,1905,True,13,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b97,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b94,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1395,b95,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b9d,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,3b95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b94,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,b95,1395,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1395,b95,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1a95,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b94,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b97,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b94,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b9d,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,3b95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1995,1915,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1bb5,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1b9d,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,9b95,1b95,True,4,correct,1,True,1
