experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,testset,n_classes,conflicts_G
r6_hd3,even_odd,_parity,0,0.125,2,7ca2,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fcbe,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fc8e,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fcee,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fc2e,fc6a,True,11,spurious,-1,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fdae,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,feae,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f8ae,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f4ae,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,ecae,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,dcae,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,bcae,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,7cae,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fc96,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fcf6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fc36,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fdb6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,feb6,fca6,True,25,correct,0,True,parity,hd3,2,19
