experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,src_pat,tgt_pat,step
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
cascade_step1,depth,_s1,0,0.0,0,fca6,fca6,True,0,correct,0,True,0.0,1.0,1
