experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,category,testset,delays,conflicts_G
r7_hd3,coloring,_all_equal,2,0.1875,3,a656,a656,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a7d6,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a4d6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a2d6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,aed6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b6d6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,86d6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e6d6,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,26d6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a716,a797,True,21,spurious,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a416,a6b6,True,61,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a216,a6b6,True,61,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,ae16,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b616,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,8616,a6b6,True,61,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e616,a75b,True,81,spurious,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,2616,a6b6,True,61,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a596,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a396,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,af96,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b796,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,8796,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e796,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,2796,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a096,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,ac96,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b496,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,8496,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e496,fca6,True,61,wrong_pattern,0,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,2496,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,aa96,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b296,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,8296,82b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e296,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,2296,22b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,be96,fca6,True,61,wrong_pattern,0,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,8e96,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,ee96,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,2e96,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,9696,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,f696,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,3696,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,c696,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,696,6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,6696,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a776,a776,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a476,e6fa,True,41,spurious,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a276,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,ae76,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b676,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,8676,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e676,e6fa,True,41,spurious,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,2676,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
