experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
spurious_basin,even_odd,,0,0.25,4,faa0,fca6,True,45,correct,0,True
spurious_basin,even_odd,,2,0.5625,9,e379,a75b,True,45,spurious,-1,False
spurious_basin,even_odd,,2,0.5,8,887a,e46a,True,69,spurious,-1,False
spurious_basin,even_odd,,2,0.3125,5,949e,a6b6,True,83,correct,2,True
spurious_basin,even_odd,,3,0.4375,7,9feb,fca6,True,85,wrong_pattern,0,False
spurious_basin,even_odd,,3,0.3125,5,b16f,a75b,True,89,spurious,-1,False
spurious_basin,even_odd,,2,0.375,6,2a27,fca6,True,123,wrong_pattern,0,False
spurious_basin,even_odd,,3,0.4375,7,7057,a75b,True,45,spurious,-1,False
spurious_basin,even_odd,,3,0.4375,7,a851,fd4b,True,79,spurious,-1,False
spurious_basin,even_odd,,1,0.4375,7,d3cf,a75b,True,79,spurious,-1,False
spurious_basin,even_odd,,1,0.375,6,5350,359,True,35,spurious,-1,False
spurious_basin,even_odd,,1,0.4375,7,940,5949,True,45,spurious,-1,False
spurious_basin,even_odd,,2,0.1875,3,aa96,fca6,True,89,wrong_pattern,0,False
spurious_basin,even_odd,,1,0.3125,5,11a7,58a4,True,89,spurious,-1,False
spurious_basin,even_odd,,0,0.375,6,fe3b,fd4b,True,45,spurious,-1,False
spurious_basin,even_odd,,0,0.375,6,f1e5,fca6,True,45,correct,0,True
spurious_basin,even_odd,,1,0.3125,5,7ad4,58a4,True,25,spurious,-1,False
spurious_basin,even_odd,,2,0.5,8,42a8,42f8,True,11,spurious,-1,False
spurious_basin,even_odd,,2,0.5,8,9362,a75b,True,69,spurious,-1,False
spurious_basin,even_odd,,0,0.1875,3,f6e6,a6b6,True,21,wrong_pattern,2,False
spurious_basin,even_odd,,1,0.375,6,2b77,a75b,True,83,spurious,-1,False
spurious_basin,even_odd,,2,0.4375,7,e7a,4068,True,79,spurious,-1,False
