experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
adversarial,noise,,3,0.375,6,4dc7,1d07,False,740,oscillated,-1,False
adversarial,noise,,3,0.4375,7,1c08,1905,True,17,spurious,-1,False
adversarial,noise,,0,0.5,8,d09b,d8a6,False,740,oscillated,-1,False
adversarial,noise,,2,0.375,6,2e6e,e6fa,True,13,spurious,-1,False
adversarial,noise,,2,0.375,6,b2ea,e6fa,True,13,spurious,-1,False
adversarial,noise,,1,0.375,6,308d,2b4,True,17,spurious,-1,False
adversarial,noise,,1,0.4375,7,b72,359,True,7,spurious,-1,False
adversarial,noise,,1,0.4375,7,3b7b,235b,False,740,oscillated,-1,False
adversarial,noise,,0,0.375,6,d8fa,d86a,False,740,oscillated,-1,False
adversarial,noise,,0,0.4375,7,d440,dd49,False,740,oscillated,-1,False
adversarial,noise,,2,0.375,6,b3,2b4,True,6,spurious,-1,False
adversarial,noise,,2,0.4375,7,5f3,6b6,False,740,oscillated,-1,False
adversarial,noise,,2,0.375,6,ab3f,a75b,True,12,spurious,-1,False
adversarial,noise,,1,0.4375,7,888,42f8,True,16,spurious,-1,False
adversarial,noise,,2,0.3125,5,8495,86b4,False,740,oscillated,-1,False
adversarial,noise,,0,0.4375,7,578e,5ca6,False,740,oscillated,-1,False
adversarial,noise,,2,0.375,6,8754,8759,False,740,oscillated,-1,False
adversarial,noise,,2,0.5625,9,7658,2759,False,740,oscillated,-1,False
adversarial,noise,,2,0.4375,7,4607,75b,False,740,oscillated,-1,False
adversarial,noise,,3,0.3125,5,3485,7ca4,False,740,oscillated,-1,False
adversarial,noise,,2,0.3125,5,46ba,46fa,False,740,oscillated,-1,False
adversarial,noise,,0,0.375,6,4026,4068,True,6,spurious,-1,False
adversarial,noise,,0,0.3125,5,38a0,58a4,True,11,spurious,-1,False
adversarial,noise,,3,0.375,6,40f,75b,False,740,oscillated,-1,False
adversarial,noise,,2,0.4375,7,28bb,62fa,False,740,oscillated,-1,False
adversarial,noise,,3,0.4375,7,4d4d,5949,True,7,spurious,-1,False
adversarial,noise,,0,0.5,8,da40,5949,True,7,spurious,-1,False
adversarial,noise,,1,0.375,6,53c6,58a4,True,18,spurious,-1,False
adversarial,noise,,0,0.375,6,4ce5,58a4,True,7,spurious,-1,False
adversarial,noise,,3,0.375,6,850a,a75b,True,6,spurious,-1,False
adversarial,noise,,0,0.5,8,5efb,446a,False,740,oscillated,-1,False
adversarial,noise,,0,0.4375,7,183e,58a4,True,15,spurious,-1,False
adversarial,noise,,2,0.4375,7,e27d,a359,False,740,oscillated,-1,False
adversarial,noise,,0,0.375,6,ff88,fca6,True,12,correct,0,True
adversarial,noise,,2,0.5,8,c2c3,c2fa,False,740,oscillated,-1,False
adversarial,noise,,1,0.4375,7,9788,c6f8,False,740,oscillated,-1,False
adversarial,noise,,3,0.4375,7,7453,fd4b,True,17,spurious,-1,False
adversarial,noise,,3,0.5,8,516f,5949,True,7,spurious,-1,False
adversarial,noise,,0,0.375,6,4c2f,1d07,False,740,oscillated,-1,False
adversarial,noise,,1,0.3125,5,2390,2b4,True,7,spurious,-1,False
adversarial,noise,,1,0.3125,5,ba55,a395,False,740,oscillated,-1,False
