experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,timeout_mult
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,33b6,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,3636,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,3684,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,3687,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,3696,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,36a5,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,36b4,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,2,36b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,36b7,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,37b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,3b05,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,3b07,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,3b81,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,2,3b85,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,3b87,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,3f03,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,3f05,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,2,3f07,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,4,3f83,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,3f85,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,3f87,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,8,40fc,42e8,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,0,-1.0,9,484a,4949,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,8,48c9,4949,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,8,4958,4949,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,9,4a4b,4959,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,5295,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,5,52b7,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,5394,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,53b5,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,7,64f8,e6ea,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,7,65fc,e6ea,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,7,694b,4949,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,0,-1.0,7,69ea,4949,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,0,-1.0,8,69fa,4949,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,73b6,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,5,73b7,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,76b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,77b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,5,8d4b,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,9216,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,9286,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,5,9287,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,9295,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,92b6,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,9394,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,93b5,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,93b6,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,9596,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,95b7,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,9636,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,9696,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,96b4,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,2,96b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,96b7,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,97b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,9b05,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,9b07,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,9b81,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,2,9b85,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,9b87,1915,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,9f03,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,9f05,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,2,9f07,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,9f85,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,9f87,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,7,ac48,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,7,ac69,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,6,ac6b,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,5,ad4a,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,ad4f,ed5b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,b1b6,b6a6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b236,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,5,b285,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b296,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,b297,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b2b4,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,2,b2b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b2b7,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,5,b3a5,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b3b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b5b6,b6a6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b616,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b634,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,b635,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,2,b636,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b637,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,b684,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b686,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b694,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,2,b696,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b697,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b6a7,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,2,b6b4,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b6b5,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,1,b6b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,2,b6b7,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b736,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,b794,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b796,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b7a6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b7b4,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,2,b7b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,b7b7,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,bb03,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,bb05,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,2,bb07,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,bb85,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,bb87,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,4,be01,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,be03,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,bf01,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,bf02,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,2,bf03,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,2,bf05,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,1,bf07,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,bf23,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,bf83,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,3,bf85,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,2,bf87,bd17,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,7,c0ff,42e8,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,c4fe,e6ea,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,8,c949,4949,False,1956,oscillated,-1,False,colour6,1
