experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,t_odd,noise_seed,delay_scale
fp_verify,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,,,
fp_verify,depth,,1,0.0625,1,1bb5,58a4,True,21,spurious,-1,False,,,
fp_verify,depth,,1,0.0625,1,1bd5,1b95,True,6,correct,1,True,,,
fp_verify,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,,,
fp_verify,depth,,1,0.0625,1,1a95,58a4,True,21,spurious,-1,False,,,
fp_verify,depth,,1,0.0625,1,1995,1915,False,740,oscillated,-1,False,,,
fp_verify,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,,,
fp_verify,depth,,1,0.0625,1,1395,b95,False,740,oscillated,-1,False,,,
fp_verify,depth,,1,0.0625,1,b95,1395,False,740,oscillated,-1,False,,,
fp_verify,depth,,1,0.0625,1,3b95,1b95,True,4,correct,1,True,,,
fp_verify,depth,,1,0.0625,1,5b95,1905,True,13,spurious,-1,False,,,
fp_verify,depth,,1,0.0625,1,9b95,1b95,True,4,correct,1,True,,,
fp_verify,depth,,2,0.0625,1,a6b7,a6b6,True,4,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a6b4,a6b6,True,4,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a6be,a6b6,True,6,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a6a6,a6b6,True,5,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a6f6,a6b6,True,6,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a7b6,a6b6,True,4,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a4b6,a6b6,True,5,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,,,
fp_verify,depth,,2,0.0625,1,b6b6,aeb6,False,740,oscillated,-1,False,,,
fp_verify,depth,,2,0.0625,1,86b6,a6b6,True,4,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,e6b6,a6b6,True,11,correct,2,True,,,
fp_verify,depth,,2,0.0625,1,26b6,a6b6,True,4,correct,2,True,,,
fp_verify,depth,,3,0.0625,1,bd06,bd07,True,4,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,bd05,bd07,True,4,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,bd03,bd07,True,6,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,bd0f,bd07,True,6,correct,3,True,,,
